voltage,timestamp,cb_settings,cb_pusm,ngood,maxgood,mingood,maxgood_index,mingood_index,third,third_index,used,used_index,used_phases,time,TID
float64,object,object,object,int64,int64,int64,int64,int64,int64,int64,int64,int64,object,datetime64[ns],float64
1.2,30Sep_181911,[14 15 24 25 26 27 28 29 30 31 56 57 58 59 60 61],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],16,61,14,29,14,27,19,27,19,[ 5  4  5  5 12  6  5  6  5  6  5  5],2022-09-30 18:19:28,88.42133333333334
1.32,30Sep_183331,[13 14 15 24 25 26 27 28 29 30 31 56 57 58 59 60],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],16,60,13,28,13,26,18,26,18,[10  8  2  2  2  2  2  2  9  2 10 10],2022-09-30 18:33:47,90.53304166666666
1.08,30Sep_184214,[15 24 25 26 27 28 29 30 31 56 57 58 59 60 61 62 63],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],17,63,15,31,15,28,20,28,20,[11 10 11 11 11 12  3  4  3 11  3  3],2022-09-30 18:42:31,91.82120833333332
1.2,30Sep_185110,[14 15 24 25 26 27 28 29 30 31 56 57 58 59 60 61],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],16,61,14,29,14,27,19,27,19,[ 5  4  5  5 12  6  5  6  5  6  5  5],2022-09-30 18:51:27,93.13887499999998
1.32,30Sep_190529,[13 14 15 24 25 26 27 28 29 30 31 56 57 58 59 60],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],16,60,13,28,13,26,18,26,18,[ 9  8  2  9  2  2  2  2  9  2 10 10],2022-09-30 19:05:46,95.25058333333334
1.08,30Sep_191449,[15 24 25 26 27 28 29 30 31 56 57 58 59 60 61 62 63],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],17,63,15,31,15,28,20,28,20,[11 10 11 11  3 12 11  4  3 12  3  3],2022-09-30 19:15:13,96.64445833333333
1.2,30Sep_192353,[14 15 24 25 26 27 28 29 30 31 56 57 58 59 60 61],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],16,61,14,29,14,27,19,27,19,[ 5  4  5  5 12  6  5  6  5  6  5  5],2022-09-30 19:24:09,97.96212499999999
1.32,30Sep_193821,[13 14 15 24 25 26 27 28 29 30 31 56 57 58 59 60 61],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],17,61,13,29,13,26,18,26,18,[10  8 10  9  2  2  2 10  9  2 10 10],2022-09-30 19:38:37,100.09595833333333
1.08,30Sep_194750,[15 24 25 26 27 28 29 30 31 56 57 58 59 60 61 62 63],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],17,63,15,31,15,28,20,28,20,[11 10 11 11  3 12  3  4  3  4  3  3],2022-09-30 19:48:15,101.516875
1.2,30Sep_195654,[14 15 24 25 26 27 28 29 30 31 56 57 58 59 60 61],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],16,61,14,29,14,27,19,27,19,[5 4 5 5 5 6 5 6 5 6 5 5],2022-09-30 19:57:10,102.83208333333332
1.32,30Sep_201056,[13 14 15 24 25 26 27 28 29 30 31 56 57 58 59 60 61],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],17,61,13,29,13,26,18,26,18,[10  8  2  2  2  2  2 10  9  2 10 10],2022-09-30 20:11:12,104.902
1.08,30Sep_201953,[15 24 25 26 27 28 29 30 31 56 57 58 59 60 61 62 63],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],17,63,15,31,15,28,20,28,20,[11 10 11 11  3  4 11  4  3 12  3  4],2022-09-30 20:20:10,106.22458333333333
1.2,30Sep_202849,[14 15 24 25 26 27 28 29 30 31 56 57 58 59 60 61 62],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],17,62,14,30,14,27,19,27,19,[5 4 5 5 5 6 5 6 5 6 5 5],2022-09-30 20:29:05,107.53979166666666
1.32,30Sep_204300,[13 14 15 24 25 26 27 28 29 30 31 56 57 58 59 60 61],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],17,61,13,29,13,26,18,26,18,[10  8 10  2  2  2  2  2  9  2 10 10],2022-09-30 20:43:17,109.63429166666666
1.08,30Sep_205154,[24 25 26 27 28 29 30 31 56 57 58 59 60 61 62 63],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],16,63,24,31,16,29,21,29,21,[11 10 11 11 11  4 11  4  3 11  3  4],2022-09-30 20:52:10,110.94458333333333
1.2,30Sep_210040,[14 15 24 25 26 27 28 29 30 31 56 57 58 59 60 61 62],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],17,62,14,30,14,27,19,27,19,[5 4 5 5 5 6 5 6 5 6 5 6],2022-09-30 21:00:56,112.23766666666667
1.32,30Sep_211451,[13 14 15 24 25 26 27 28 29 30 31 56 57 58 59 60 61],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],17,61,13,29,13,26,18,26,18,[10  8 10  2  2  2  2  2  9  2 10 10],2022-09-30 21:15:07,114.32970833333333
1.08,30Sep_212344,[24 25 26 27 28 29 30 31 56 57 58 59 60 61 62 63],[7 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],16,63,24,31,16,29,21,28,20,[11 10  3  3  3  4 12  4  3 12  3  4],2022-09-30 21:24:01,115.64245833333334
1.2,30Sep_213240,[14 15 24 25 26 27 28 29 30 31 56 57 58 59 60 61 62],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],17,62,14,30,14,27,19,27,19,[ 5 11  5  5  5  6  5  6  5  6  5  6],2022-09-30 21:32:56,116.95766666666667
1.32,30Sep_214718,[13 14 15 24 25 26 27 28 29 30 31 56 57 58 59 60 61],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],17,61,13,29,13,26,18,26,18,[10  8 10  2  2  2 10  3  9  2 10 10],2022-09-30 21:47:34,119.11608333333334
